team,matches,wins,draws,losses,points
Arsenal FC,38,20,7,3,67
Manchester City FC,38,18,6,5,60
Aston Villa FC,38,15,6,8,51
Manchester United FC,38,14,9,6,51
Chelsea FC,38,13,9,7,48
Liverpool FC,38,14,6,9,48
Brentford FC,38,13,5,11,44
Everton FC,38,12,7,10,43
Fulham FC,38,12,4,13,40
Sunderland AFC,38,10,10,9,40
AFC Bournemouth,38,9,13,7,40
Newcastle United FC,38,11,6,12,39
Crystal Palace FC,38,10,8,11,38
Brighton & Hove Albion FC,38,9,10,10,37
Leeds United FC,38,7,10,12,31
Tottenham Hotspur FC,38,7,8,14,29
West Ham United FC,38,7,7,15,28
Nottingham Forest FC,38,7,7,15,28
Burnley FC,38,4,7,18,19
Wolverhampton Wanderers FC,38,3,7,20,16
